i,cpu_mj,gpu_mj,ane_mj,dram_mj,time_s,size,profiler,phase,variant
14,1702.5864245755272,0.4332874639211059,0.0,470.9834732822422,0.5140361669982667,100,mac,phase-29,with
15,1699.7292450503628,0.4325603466056166,0.0,470.1930967603053,0.5131735420000041,100,mac,phase-29,with
16,1696.6413150543756,0.431774506111757,0.0,469.33888814347983,0.512241250002262,100,mac,phase-29,with
17,1691.5910504622384,0.4304892754146995,0.0,467.9418423757784,0.5107165000008536,100,mac,phase-29,with
18,1705.8465885600117,0.4341171358628145,0.0,471.88532668287934,0.5150204589990608,100,mac,phase-29,with
19,1697.6634011631045,0.4320346145512275,0.0,469.6216260171843,0.5125498330016853,100,mac,phase-29,with
20,1697.9111266140835,0.4320976576548574,0.0,469.6901538708301,0.5126246250001714,100,mac,phase-29,with
21,1700.1634171040591,0.4326708380939406,0.0,470.3132010081134,0.513304625001183,100,mac,phase-29,with
22,1698.009386098906,0.4321226634944263,0.0,469.71733521844135,0.5126542910002172,100,mac,phase-29,with
23,1695.7074127257792,0.4315368393679918,0.0,469.0805443930072,0.5119592909977655,100,mac,phase-29,with
24,1695.3634979136232,0.4314493172459938,0.0,468.9854078463953,0.5118554580003547,100,mac,phase-29,with
25,1703.9976932428322,0.4336466145715173,0.0,471.3738700392393,0.5144622500010883,100,mac,phase-29,with
26,1698.0149108307794,0.4321240694712552,0.0,469.7188635152545,0.5126559589989483,100,mac,phase-29,with
27,1693.4629920169104,0.4309656616921448,0.0,468.45967425936146,0.5112816670007305,100,mac,phase-29,with
28,1701.6090530604297,0.4330387347999449,0.0,470.7131047275401,0.5137410839997756,100,mac,phase-29,with
29,1714.7917125952802,0.4363935607489505,0.0,474.3598005341093,0.5177211250011169,100,mac,phase-29,with
0,1685.4069504230138,0.9003954820225835,0.0,469.106046133766,0.5119301670019922,100,mac,phase-16,with
1,1684.9120118880196,0.9001310708543041,0.0,468.9682879150925,0.5117798330029473,100,mac,phase-16,with
2,1683.7700093651758,0.8995209784895083,0.0,468.6504297930338,0.5114329579992045,100,mac,phase-16,with
3,1683.044204417893,0.8991332314856176,0.0,468.4484136040067,0.5112124999977823,100,mac,phase-16,with
4,1685.5411067069986,0.9004671523761171,0.0,469.14338638795704,0.5119709160026105,100,mac,phase-16,with
5,1688.019081773385,0.9017909617705064,0.0,469.83309108243384,0.5127235830004793,100,mac,phase-16,with
6,1709.3699343703154,0.9131972344281464,0.0,475.77575913706426,0.5192087499999616,100,mac,phase-16,with
7,1681.6389594309271,0.898382507016918,0.0,468.05728615581427,0.5107856670001638,100,mac,phase-16,with
8,1686.120547663472,0.9007767072994408,0.0,469.3046645030087,0.5121469170007913,100,mac,phase-16,with
9,1687.0467689001869,0.9012715227602898,0.0,469.56246335811096,0.5124282500000845,100,mac,phase-16,with
10,1681.9798432664134,0.8985646174949181,0.0,468.15216571485234,0.5108892079988436,100,mac,phase-16,with
11,1682.973832386401,0.8990956366132336,0.0,468.4288266754947,0.5111911250023695,100,mac,phase-16,with
12,1684.7607062245593,0.900050238782412,0.0,468.92617440563663,0.5117338750023919,100,mac,phase-16,with
13,1697.2951611645233,0.906746524563556,0.0,472.4149392976128,0.5155411250016186,100,mac,phase-16,with
14,1683.9981366106051,0.899642850979152,0.0,468.71392536013815,0.5115022499994666,100,mac,phase-16,with
15,1685.9584038826058,0.9006900851766988,0.0,469.2595343770601,0.5120976670004893,100,mac,phase-16,with
16,1677.7029249314749,0.8962797580757781,0.0,466.9617539574804,0.5095901249987946,100,mac,phase-16,with
17,1688.7147098689277,0.902162587385458,0.0,470.0267080278236,0.5129348750015197,100,mac,phase-16,with
18,1680.573640225599,0.8978133812048117,0.0,467.7607716077069,0.5104620839993004,100,mac,phase-16,with
19,1683.2713703277295,0.8992545904006469,0.0,468.511641598737,0.5112814999993134,100,mac,phase-16,with
20,1679.0055633813136,0.8969756670220709,0.0,467.32432251849895,0.5099857920031354,100,mac,phase-16,with
21,1678.679079877278,0.8968012496376435,0.0,467.23345106121224,0.5098866250009451,100,mac,phase-16,with
